card_code,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment
2719000187090.0,8,4,18620.0,5,3,3,533,11,Loyal
2719000187137.0,160,1,7150.0,1,1,2,112,4,At Risk
2719000187144.0,16,29,116318.27,4,5,5,455,14,Champions
2719000187168.0,9,7,31007.85,4,4,4,444,12,Champions
2719000187175.0,35,4,7158.96,3,3,2,332,8,Potential
2719000187182.0,152,2,4495.0,1,1,2,112,4,At Risk
2719000187199.0,1,20,25578.59,5,5,4,554,14,Champions
2719000187205.0,9,5,11449.1,4,3,3,433,10,Loyal
2719000187236.0,41,10,71696.06,3,4,5,345,12,Champions
2719000187298.0,219,1,3460.0,1,1,1,111,3,Lost
2719000187328.0,10,30,113670.2,4,5,5,455,14,Champions
2719000187335.0,14,6,12250.0,4,3,3,433,10,Loyal
2719000187342.0,11,11,56173.0,4,4,5,445,13,Champions
2719000187359.0,80,3,12120.0,2,2,3,223,7,Potential
2719000187366.0,4,7,18281.0,5,4,3,543,12,Champions
2719000187380.0,3,12,25685.52,5,4,4,544,13,Champions
2719000187403.0,9,18,61822.04,4,5,5,455,14,Champions
2719000187410.0,150,1,5150.0,1,1,2,112,4,At Risk
2719000187427.0,24,7,8670.0,3,4,2,342,9,Loyal
2719000187434.0,41,7,48797.76,3,4,5,345,12,Champions
2719000187441.0,26,13,17105.0,3,5,3,353,11,Loyal
2719000187458.0,182,1,3760.0,1,1,1,111,3,Lost
2719000187465.0,69,3,11125.0,2,2,3,223,7,Potential
2719000187472.0,55,2,4427.719999999999,2,1,1,211,4,At Risk
2719000187489.0,110,1,6690.0,2,1,2,212,5,At Risk
2719000187496.0,9,25,51633.08,4,5,5,455,14,Champions
2719000187519.0,1,6,17197.0,5,3,3,533,11,Loyal
2719000187526.0,130,1,1090.0,1,1,1,111,3,Lost
2719000187540.0,21,8,23510.0,4,4,4,444,12,Champions
2719000187601.0,216,2,2555.0,1,1,1,111,3,Lost
2719000187618.0,4,44,96518.08,5,5,5,555,15,Champions
2719000187632.0,109,4,22736.25,2,3,4,234,9,Loyal
2719000187649.0,226,1,1750.0,1,1,1,111,3,Lost
2719000187687.0,1,11,31657.78,5,4,4,544,13,Champions
2719000187724.0,16,12,11685.8,4,4,3,443,11,Loyal
2719000187731.0,90,6,32418.08,2,3,4,234,9,Loyal
2719000187748.0,3,9,30355.36,5,4,4,544,13,Champions
2719000187755.0,16,18,46977.36,4,5,5,455,14,Champions
2719000187762.0,14,8,15051.31,4,4,3,443,11,Loyal
2719000187786.0,17,5,6912.7,4,3,2,432,9,Loyal
2719000187809.0,198,1,19230.0,1,1,3,113,5,At Risk
2719000187816.0,9,6,19061.4,4,3,3,433,10,Loyal
2719000187823.0,3,9,39423.33,5,4,4,544,13,Champions
2719000187854.0,62,3,3990.0,2,2,1,221,5,At Risk
2719000187878.0,198,2,2905.0,1,1,1,111,3,Lost
2719000187892.0,9,3,13830.0,4,2,3,423,9,Loyal
2719000187939.0,5,12,82680.0,5,4,5,545,14,Champions
2719000187946.0,36,2,1130.0,3,1,1,311,5,At Risk
2719000187953.0,90,10,13540.0,2,4,3,243,9,Loyal
2719000187977.0,89,2,699.0,2,1,1,211,4,At Risk
2719000187991.0,28,14,25500.0,3,5,4,354,12,Champions
2719000193039.0,215,2,7090.0,1,1,2,112,4,At Risk
2719000193077.0,2,11,19686.0,5,4,3,543,12,Champions
2719000193091.0,1,17,162523.2,5,5,5,555,15,Champions
2719000193107.0,1,150,154057.28,5,5,5,555,15,Champions
2719000193114.0,106,1,1330.0,2,1,1,211,4,At Risk
2719000193138.0,84,3,2960.0,2,2,1,221,5,At Risk
2719000193145.0,18,1,3080.0,4,1,1,411,6,Potential
2719000193152.0,22,18,61281.28,4,5,5,455,14,Champions
2719000193176.0,16,16,41140.0,4,5,5,455,14,Champions
2719000193183.0,36,5,10545.74,3,3,2,332,8,Potential
2719000193190.0,16,11,135537.34,4,4,5,445,13,Champions
2719000193220.0,20,10,22725.0,4,4,4,444,12,Champions
2719000193244.0,56,5,4780.0,2,3,2,232,7,Potential
2719000193251.0,220,1,6170.0,1,1,2,112,4,At Risk
2719000193275.0,3,5,7260.0,5,3,2,532,10,Loyal
2719000193282.0,14,23,50106.2,4,5,5,455,14,Champions
2719000193299.0,6,4,2650.0,5,3,1,531,9,Loyal
2719000193329.0,10,25,216941.0,4,5,5,455,14,Champions
2719000193343.0,177,3,16750.0,1,2,3,123,6,Potential
2719000193350.0,5,9,10605.0,5,4,2,542,11,Loyal
2719000193367.0,29,1,1150.0,3,1,1,311,5,At Risk
2719000193381.0,5,16,32990.0,5,5,4,554,14,Champions
2719000193398.0,5,4,6970.0,5,3,2,532,10,Loyal
2719000193404.0,11,9,13530.0,4,4,3,443,11,Loyal
2719000193411.0,70,2,3140.0,2,1,1,211,4,At Risk
2719000193435.0,4,17,43031.06,5,5,5,555,15,Champions
2719000193503.0,13,13,41773.22,4,5,5,455,14,Champions
2719000193510.0,4,42,60576.479999999996,5,5,5,555,15,Champions
2719000193534.0,10,11,28776.6,4,4,4,444,12,Champions
2719000193541.0,12,7,21420.0,4,4,4,444,12,Champions
2719000193558.0,31,1,1000.0,3,1,1,311,5,At Risk
2719000193589.0,25,15,57174.0,3,5,5,355,13,Champions
2719000193596.0,41,4,17680.0,3,3,3,333,9,Loyal
2719000193602.0,135,2,4400.0,1,1,1,111,3,Lost
2719000193626.0,1,16,22123.239999999998,5,5,4,554,14,Champions
2719000193633.0,162,1,2640.0,1,1,1,111,3,Lost
2719000193640.0,8,7,33013.26,5,4,4,544,13,Champions
2719000193664.0,76,2,8056.24,2,1,2,212,5,At Risk
2719000193671.0,38,5,7785.0,3,3,2,332,8,Potential
2719000193688.0,10,20,45199.96,4,5,5,455,14,Champions
2719000193695.0,39,2,26900.0,3,1,4,314,8,Potential
2719000193732.0,107,4,6135.0,2,3,2,232,7,Potential
2719000193749.0,34,1,2640.0,3,1,1,311,5,At Risk
2719000193756.0,84,2,1600.0,2,1,1,211,4,At Risk
2719000193763.0,11,26,53949.4,4,5,5,455,14,Champions
2719000193787.0,11,23,38172.29,4,5,4,454,13,Champions
2719000193794.0,11,25,36095.84,4,5,4,454,13,Champions
2719000193800.0,121,3,3300.0,1,2,1,121,4,At Risk
2719000193824.0,18,7,54215.0,4,4,5,445,13,Champions
2719000193848.0,52,11,16197.64,3,4,3,343,10,Loyal
2719000193862.0,65,4,22680.0,2,3,4,234,9,Loyal
2719000193879.0,76,17,38065.91,2,5,4,254,11,Loyal
2719000193886.0,223,1,3470.0,1,1,1,111,3,Lost
2719000193893.0,38,1,5260.0,3,1,2,312,6,Potential
2719000193909.0,151,2,11.0,1,1,1,111,3,Lost
2719000193916.0,1,14,50450.0,5,5,5,555,15,Champions
2719000193923.0,7,13,37440.0,5,5,4,554,14,Champions
2719000193930.0,183,1,2430.0,1,1,1,111,3,Lost
2719000193947.0,1,6,9340.0,5,3,2,532,10,Loyal
2719000193954.0,3,41,54208.61,5,5,5,555,15,Champions
2719000193978.0,1,47,47387.17,5,5,5,555,15,Champions
2719000193985.0,50,7,22300.0,3,4,4,344,11,Loyal
2719000193992.0,39,13,33675.0,3,5,4,354,12,Champions
2719000194005.0,70,12,22998.75,2,4,4,244,10,Loyal
2719000194029.0,184,6,11558.279999999999,1,3,3,133,7,Potential
2719000194036.0,11,21,23002.84,4,5,4,454,13,Champions
2719000194043.0,5,7,7770.0,5,4,2,542,11,Loyal
2719000194050.0,3,6,15599.0,5,3,3,533,11,Loyal
2719000194067.0,5,21,58023.72,5,5,5,555,15,Champions
2719000194074.0,35,2,1300.0,3,1,1,311,5,At Risk
2719000194081.0,142,2,11817.4,1,1,3,113,5,At Risk
2719000194098.0,47,9,28130.0,3,4,4,344,11,Loyal
2719000194111.0,110,2,8820.0,2,1,2,212,5,At Risk
2719000194128.0,4,39,80526.64,5,5,5,555,15,Champions
2719000194135.0,7,6,16060.0,5,3,3,533,11,Loyal
2719000194142.0,24,2,41768.0,3,1,5,315,9,Loyal
2719000194180.0,22,8,14090.0,4,4,3,443,11,Loyal
2719000194210.0,21,16,59670.34,4,5,5,455,14,Champions
2719000194227.0,133,1,650.0,1,1,1,111,3,Lost
2719000194241.0,132,1,3740.0,1,1,1,111,3,Lost
2719000194265.0,11,17,97465.38,4,5,5,455,14,Champions
2719000194289.0,15,16,35082.0,4,5,4,454,13,Champions
2719000194296.0,44,4,4728.04,3,3,2,332,8,Potential
2719000194302.0,13,4,7090.0,4,3,2,432,9,Loyal
2719000194326.0,16,5,28630.0,4,3,4,434,11,Loyal
2719000194333.0,65,4,10025.0,2,3,2,232,7,Potential
2719000194357.0,30,5,17400.0,3,3,3,333,9,Loyal
2719000194401.0,31,5,6920.0,3,3,2,332,8,Potential
2719000194418.0,85,5,12600.0,2,3,3,233,8,Potential
2719000194425.0,69,24,26181.03,2,5,4,254,11,Loyal
2719000194449.0,5,7,11588.1,5,4,3,543,12,Champions
2719000194456.0,153,1,2160.0,1,1,1,111,3,Lost
2719000194463.0,42,3,5235.0,3,2,2,322,7,Potential
2719000194470.0,69,9,52534.3,2,4,5,245,11,Loyal
2719000194494.0,7,7,31835.0,5,4,4,544,13,Champions
2719000194500.0,45,3,4100.0,3,2,1,321,6,Potential
2719000194517.0,21,16,48024.51,4,5,5,455,14,Champions
2719000194524.0,3,9,8715.0,5,4,2,542,11,Loyal
2719000194531.0,3,12,114253.32,5,4,5,545,14,Champions
2719000194548.0,148,4,9100.0,1,3,2,132,6,Potential
2719000194562.0,19,6,8144.97,4,3,2,432,9,Loyal
2719000194579.0,2,25,43523.52,5,5,5,555,15,Champions
2719000194586.0,1,12,18434.88,5,4,3,543,12,Champions
2719000194593.0,72,4,2331.0,2,3,1,231,6,Potential
2719000194609.0,117,2,7405.68,1,1,2,112,4,At Risk
2719000194616.0,11,15,26405.0,4,5,4,454,13,Champions
2719000194623.0,66,8,128655.0,2,4,5,245,11,Loyal
2719000194630.0,33,2,2160.0,3,1,1,311,5,At Risk
2719000194661.0,9,11,82200.0,4,4,5,445,13,Champions
2719000194678.0,7,14,49400.0,5,5,5,555,15,Champions
2719000194692.0,13,13,87996.0,4,5,5,455,14,Champions
2719000194708.0,29,22,103089.16,3,5,5,355,13,Champions
2719000194715.0,5,3,2730.0,5,2,1,521,8,Potential
2719000194760.0,30,3,10380.0,3,2,2,322,7,Potential
2719000194784.0,8,11,18061.1,5,4,3,543,12,Champions
2719000194807.0,2,16,9643.98,5,5,2,552,12,Champions
2719000194838.0,46,6,11265.0,3,3,3,333,9,Loyal
2719000194852.0,31,4,8900.0,3,3,2,332,8,Potential
2719000194869.0,33,5,20055.0,3,3,3,333,9,Loyal
2719000194890.0,8,8,12240.0,5,4,3,543,12,Champions
2719000194906.0,3,82,88432.68000000001,5,5,5,555,15,Champions
2719000194944.0,71,2,11760.0,2,1,3,213,6,Potential
2719000194982.0,2,15,56232.18,5,5,5,555,15,Champions
2719000194999.0,6,7,10519.9,5,4,2,542,11,Loyal
2719000202014.0,9,10,46730.22,4,4,5,445,13,Champions
2719000202021.0,29,3,7590.0,3,2,2,322,7,Potential
2719000202038.0,103,7,10635.0,2,4,2,242,8,Potential
2719000202045.0,21,6,22955.0,4,3,4,434,11,Loyal
2719000202069.0,17,9,59804.0,4,4,5,445,13,Champions
2719000202083.0,7,5,28255.0,5,3,4,534,12,Champions
2719000202144.0,84,1,5210.0,2,1,2,212,5,At Risk
2719000202151.0,124,2,13840.0,1,1,3,113,5,At Risk
2719000202175.0,23,12,55155.45,3,4,5,345,12,Champions
2719000202205.0,35,11,18805.0,3,4,3,343,10,Loyal
2719000202212.0,12,3,6290.0,4,2,2,422,8,Potential
2719000202229.0,28,9,36395.0,3,4,4,344,11,Loyal
2719000202243.0,211,1,2870.0,1,1,1,111,3,Lost
2719000202267.0,12,29,142963.21,4,5,5,455,14,Champions
2719000202274.0,22,10,17829.239999999998,4,4,3,443,11,Loyal
2719000202281.0,22,7,27730.0,4,4,4,444,12,Champions
2719000202298.0,129,1,1370.0,1,1,1,111,3,Lost
2719000202304.0,1,14,13722.6,5,5,3,553,13,Champions
2719000202342.0,3,9,48460.5,5,4,5,545,14,Champions
2719000202366.0,38,10,31646.3,3,4,4,344,11,Loyal
2719000202380.0,126,1,5696.3,1,1,2,112,4,At Risk
2719000202397.0,61,1,2019.62,2,1,1,211,4,At Risk
2719000202403.0,1,12,49655.0,5,4,5,545,14,Champions
2719000202410.0,4,54,68622.74,5,5,5,555,15,Champions
2719000202441.0,8,23,70464.95,5,5,5,555,15,Champions
2719000202458.0,186,1,1730.0,1,1,1,111,3,Lost
2719000202465.0,152,1,3400.0,1,1,1,111,3,Lost
2719000202472.0,25,12,40095.0,3,4,4,344,11,Loyal
2719000202496.0,34,3,6820.0,3,2,2,322,7,Potential
2719000202519.0,24,5,8500.0,3,3,2,332,8,Potential
2719000202533.0,2,12,25967.98,5,4,4,544,13,Champions
2719000202540.0,8,6,14082.98,5,3,3,533,11,Loyal
2719000202571.0,30,16,13681.28,3,5,3,353,11,Loyal
2719000202588.0,63,3,7780.0,2,2,2,222,6,Potential
2719000202595.0,3,1,990.0,5,1,1,511,7,Potential
2719000202625.0,25,9,11950.0,3,4,3,343,10,Loyal
2719000202649.0,11,17,47809.68,4,5,5,455,14,Champions
2719000202670.0,57,3,20480.0,2,2,4,224,8,Potential
2719000202687.0,4,9,32531.44,5,4,4,544,13,Champions
2719000202694.0,29,7,73987.48,3,4,5,345,12,Champions
2719000202700.0,3,10,23377.11,5,4,4,544,13,Champions
2719000202717.0,5,11,55607.6,5,4,5,545,14,Champions
2719000202724.0,54,5,11471.0,2,3,3,233,8,Potential
2719000202731.0,15,10,26391.18,4,4,4,444,12,Champions
2719000202755.0,56,5,2661.0,2,3,1,231,6,Potential
2719000202762.0,32,13,23051.86,3,5,4,354,12,Champions
2719000202779.0,123,5,17090.0,1,3,3,133,7,Potential
2719000202786.0,5,8,14108.8,5,4,3,543,12,Champions
2719000202816.0,11,6,3805.0,4,3,1,431,8,Potential
2719000202830.0,2,28,132353.94,5,5,5,555,15,Champions
2719000202847.0,4,22,72110.0,5,5,5,555,15,Champions
2719000202908.0,59,3,7210.0,2,2,2,222,6,Potential
2719000202915.0,121,2,9155.0,1,1,2,112,4,At Risk
2719000202922.0,13,4,13397.5,4,3,3,433,10,Loyal
2719000202946.0,16,15,74910.0,4,5,5,455,14,Champions
2719000202977.0,33,7,9405.0,3,4,2,342,9,Loyal
2719000202984.0,23,4,4130.0,3,3,1,331,7,Potential
2719000202991.0,159,1,2685.0,1,1,1,111,3,Lost
2719000204711.0,35,2,3230.0,3,1,1,311,5,At Risk
2719000204728.0,1,2,1960.0,5,1,1,511,7,Potential
2719000204773.0,63,2,10150.0,2,1,2,212,5,At Risk
2719000204780.0,84,1,6860.0,2,1,2,212,5,At Risk
2719000204797.0,5,4,20496.0,5,3,4,534,12,Champions
2719000204810.0,26,15,22385.8,3,5,4,354,12,Champions
2719000206012.0,19,6,16480.0,4,3,3,433,10,Loyal
2719000206029.0,9,13,29404.6,4,5,4,454,13,Champions
2719000206036.0,96,2,3860.0,2,1,1,211,4,At Risk
2719000206043.0,5,7,37545.619999999995,5,4,4,544,13,Champions
2719000206050.0,93,3,9176.66,2,2,2,222,6,Potential
2719000206067.0,178,2,5736.9,1,1,2,112,4,At Risk
2719000206074.0,214,1,3400.0,1,1,1,111,3,Lost
2719000206081.0,76,3,1510.0,2,2,1,221,5,At Risk
2719000206098.0,20,25,44138.29,4,5,5,455,14,Champions
2719000206104.0,70,5,15130.0,2,3,3,233,8,Potential
2719000206111.0,79,9,16698.07,2,4,3,243,9,Loyal
2719000206135.0,40,9,102785.88,3,4,5,345,12,Champions
2719000206166.0,156,3,4010.0,1,2,1,121,4,At Risk
2719000206173.0,207,1,3790.0,1,1,1,111,3,Lost
2719000206197.0,95,10,35663.36,2,4,4,244,10,Loyal
2719000206234.0,41,3,20050.0,3,2,3,323,8,Potential
2719000206241.0,10,9,28950.0,4,4,4,444,12,Champions
2719000206258.0,135,1,5127.5,1,1,2,112,4,At Risk
2719000206265.0,2,21,49813.04,5,5,5,555,15,Champions
2719000206289.0,5,36,82640.62,5,5,5,555,15,Champions
2719000206296.0,204,1,1930.0,1,1,1,111,3,Lost
2719000206319.0,7,7,73730.0,5,4,5,545,14,Champions
2719000206340.0,32,8,13675.0,3,4,3,343,10,Loyal
2719000206357.0,21,21,68514.9,4,5,5,455,14,Champions
2719000206364.0,158,8,8148.02,1,4,2,142,7,Potential
2719000206371.0,66,3,6200.0,2,2,2,222,6,Potential
2719000206388.0,1,47,74452.9,5,5,5,555,15,Champions
2719000206395.0,39,1,1495.0,3,1,1,311,5,At Risk
2719000206401.0,113,4,7800.0,1,3,2,132,6,Potential
2719000206418.0,223,1,8226.92,1,1,2,112,4,At Risk
2719000206425.0,78,1,2260.0,2,1,1,211,4,At Risk
2719000206449.0,5,24,125309.5,5,5,5,555,15,Champions
2719000206456.0,13,24,58429.3,4,5,5,455,14,Champions
2719000206463.0,4,7,17163.9,5,4,3,543,12,Champions
2719000206470.0,219,1,5242.1,1,1,2,112,4,At Risk
2719000206487.0,174,3,19580.0,1,2,3,123,6,Potential
2719000206494.0,39,2,10180.0,3,1,2,312,6,Potential
2719000206500.0,13,24,74737.66,4,5,5,455,14,Champions
2719000206524.0,18,7,10225.0,4,4,2,442,10,Loyal
2719000206531.0,62,1,3080.0,2,1,1,211,4,At Risk
2719000206548.0,32,3,13250.0,3,2,3,323,8,Potential
2719000206579.0,187,5,11130.0,1,3,3,133,7,Potential
2719000206586.0,96,4,13765.0,2,3,3,233,8,Potential
2719000206609.0,24,15,76647.42,3,5,5,355,13,Champions
2719000206623.0,141,12,43137.74,1,4,5,145,10,Loyal
2719000206647.0,16,5,31501.56,4,3,4,434,11,Loyal
2719000206678.0,35,5,12550.0,3,3,3,333,9,Loyal
2719000206685.0,103,2,2140.0,2,1,1,211,4,At Risk
2719000206708.0,15,10,20570.0,4,4,4,444,12,Champions
2719000206739.0,9,27,64706.94,4,5,5,455,14,Champions
