timeline,NA_estimate
0.0,0.0
12.0,0.0019999999999997797
25.0,0.004004008016031513
50.0,0.006012040144545594
73.0,0.00802411257915292
83.0,0.010040241611410927
92.0,0.012060443631613182
117.0,0.014084735129588744
125.0,0.01611313269551129
128.0,0.01814565302071447
145.0,0.020182312898515242
167.0,0.0222231292250461
177.0,0.024268119000097066
188.0,0.02631729932796567
206.0,0.028370687418314944
214.0,0.03042830058703938
224.0,0.032490156257142466
229.0,0.03455627195962219
231.0,0.03662666533436365
249.0,0.03870135413104414
253.0,0.04286368954337938
260.0,0.04495137221561318
267.0,0.04704342242481818
272.0,0.04913985848351832
273.0,0.053345961977547596
278.0,0.055455666618898114
282.0,0.05756983152376094
283.0,0.059688475591557655
285.0,0.06393927741655592
288.0,0.06607147357860299
291.0,0.06820822571535512
294.0,0.07034955333848103
305.0,0.07249547608526186
314.0,0.07464601371967028
320.0,0.07896101334728556
341.0,0.08112551551178804
353.0,0.08329471290875112
354.0,0.08546862595222926
358.0,0.08764727518970172
359.0,0.08983068130323879
363.0,0.09201886511067858
366.0,0.094211847566819
371.0,0.09640964976462119
373.0,0.09861229293642726
374.0,0.10081979845519129
378.0,0.10303218783572188
404.0,0.10524948273594337
408.0,0.10747170495816594
410.0,0.1096988764503708
414.0,0.11193101930751403
418.0,0.11416815577283845
419.0,0.11641030823920584
423.0,0.11865749925044167
430.0,0.12316708784580932
434.0,0.12542953128472334
435.0,0.12769710498086884
441.0,0.13224773658161393
443.0,0.13453084160444462
444.0,0.13681917112389552
450.0,0.14141159968025985
454.0,0.14602521596786833
461.0,0.1483400307826832
464.0,0.1529857977928808
470.0,0.15531680012388271
473.0,0.15999516909672096
478.0,0.16469552811356714
481.0,0.1670540186796048
483.0,0.16941808487345789
485.0,0.17178775311990346
489.0,0.1741630500320177
493.0,0.17654400241297008
494.0,0.17893063725783875
495.0,0.18132298175544648
496.0,0.18372106329021864
498.0,0.18612490944406446
499.0,0.18853454799828118
501.0,0.1909500069354788
503.0,0.19337131444153233
504.0,0.19579849890755163
505.0,0.19823158893188264
507.0,0.2006706133221261
510.0,0.20311560109718751
515.0,0.2055665814893448
523.0,0.20802358394634712
537.0,0.2104866381335393
539.0,0.21295577393600862
541.0,0.21543102146076087
544.0,0.21791241103892478
548.0,0.22039997322797955
549.0,0.22289373881401442
550.0,0.2253937388140148
553.0,0.22790000447817516
554.0,0.23545671150515535
556.0,0.2379883570747756
557.0,0.24052642814076552
558.0,0.24307095740285245
559.0,0.24562197781101602
560.0,0.24817952256804965
566.0,0.2507436251321522
571.0,0.255891638807185
572.0,0.2584756181353507
573.0,0.2636636943078825
576.0,0.26626786097454946
581.0,0.27149662807911046
589.0,0.27412129999512125
593.0,0.27675287894248957
594.0,0.2820369040154329
596.0,0.28468942390933183
598.0,0.2873489983774169
600.0,0.29001566504408327
601.0,0.29268946183552735
604.0,0.29805859902599163
605.0,0.3007540168157492
606.0,0.30345671951845166
611.0,0.30616674661872256
613.0,0.31434117400055506
616.0,0.3170809000279524
619.0,0.31982815277520515
620.0,0.3225829737118442
622.0,0.3253454046510704
623.0,0.32811548775356325
630.0,0.3336787808516757
633.0,0.3364720769410612
634.0,0.33927319738924044
636.0,0.34208218615328523
637.0,0.3448990875617364
638.0,0.34772394631879866
640.0,0.3562467194485128
641.0,0.3591038623056555
642.0,0.3619691918185497
643.0,0.36772459941734414
647.0,0.37061477282774913
649.0,0.37351332355238664
652.0,0.3764203002965729
654.0,0.37933575219161675
655.0,0.38225972879980397
656.0,0.38519228011945206
657.0,0.3881334565900403
659.0,0.3940418889790722
660.0,0.3999854385057082
661.0,0.4029705131325736
663.0,0.40596452510862147
664.0,0.4089675281116243
666.0,0.41500072434064883
668.0,0.41803102737095177
669.0,0.4241193215365682
671.0,0.42717742551210325
673.0,0.43640825300468933
675.0,0.4395042282368875
676.0,0.44260981829899926
677.0,0.44572508309650694
678.0,0.4519848793347512
680.0,0.4646232676919215
681.0,0.46780798106771737
682.0,0.4710028692466315
684.0,0.47742343153536115
686.0,0.4903895661786466
687.0,0.49693622855944586
688.0,0.5035260322766595
691.0,0.5068372905548051
692.0,0.5134928830243508
694.0,0.5134928830243508
697.0,0.516848587722337
699.0,0.5235939694677185
700.0,0.5269837999761933
703.0,0.5303851605204111
707.0,0.5337981298036878
708.0,0.5510399191515205
709.0,0.5580207432055149
710.0,0.561529515135339
713.0,0.565050641895902
714.0,0.5685842108004957
719.0,0.5792604575239144
720.0,0.5864418092167538
721.0,0.590051917520003
722.0,0.5936751059257999
724.0,0.5973114695621637
725.0,0.6046241082616639
727.0,0.6119906157502681
728.0,0.6231431348565133
730.0,0.626888453208573
732.0,0.6344214366104746
733.0,0.6382093153983535
734.0,0.6420115967671745
735.0,0.645828390660304
736.0,0.6535059621309784
737.0,0.6573669659919821
738.0,0.6612429349842301
739.0,0.6651339855678877
740.0,0.6729618041953387
742.0,0.6768988120693544
743.0,0.6808513812393153
744.0,0.6848196352075693
748.0,0.6888036989525892
749.0,0.6888036989525892
751.0,0.6928197632096174
752.0,0.6968520212741334
754.0,0.7009006042700845
755.0,0.7049656449204909
756.0,0.7049656449204909
757.0,0.7131792319136778
758.0,0.7214608409119974
759.0,0.7298116079970738
760.0,0.7340132886693427
761.0,0.7424699860876363
762.0,0.7467253052365725
765.0,0.7552906550036393
766.0,0.768277830247186
767.0,0.7726446424742601
769.0,0.777030607386541
770.0,0.7858606724912152
771.0,0.794769402649945
772.0,0.8082830989650134
774.0,0.8082830989650134
775.0,0.8082830989650134
777.0,0.812870254928316
778.0,0.83143223947578
782.0,0.8408440562886064
786.0,0.8455833927814975
788.0,0.8551299865386177
789.0,0.8647685967207064
791.0,0.869622965652745
792.0,0.8794029752175465
793.0,0.8843290835919309
794.0,0.8892795786414354
797.0,0.8942795786414353
798.0,0.8993047042695759
799.0,0.8993047042695759
800.0,0.9095349502141072
801.0,0.919870936539624
802.0,0.9515357776719977
803.0,0.9569121217580197
804.0,0.9623766026323368
805.0,0.9789515255608512
806.0,0.9789515255608512
808.0,0.9845695030889408
809.0,0.9902513212707591
810.0,0.9959656069850444
812.0,1.0017127334218259
813.0,1.007493080242635
814.0,1.0133070337310066
815.0,1.0250373398885575
816.0,1.0309544996518714
817.0,1.0309544996518714
819.0,1.0309544996518714
820.0,1.0370151057124772
821.0,1.0678816556436361
822.0,1.0741709638197365
823.0,1.0805000777437872
824.0,1.0868695044953798
825.0,1.0868695044953798
827.0,1.1063505716045308
829.0,1.1063505716045308
830.0,1.1197286476671708
831.0,1.1401374405808564
832.0,1.147081885025301
833.0,1.1686653635840685
834.0,1.1760183047605395
835.0,1.1760183047605395
836.0,1.1834809913277038
837.0,1.1911145791139637
838.0,1.1988068868062713
839.0,1.2065588247907675
840.0,1.2143713247907675
841.0,1.222245340538799
843.0,1.2301818484753069
844.0,1.254573167216627
845.0,1.2711709633598778
847.0,1.2795743247044156
848.0,1.313912251351697
849.0,1.340462310126954
850.0,1.358727531144468
851.0,1.3773325847962505
852.0,1.3867665470604011
854.0,1.3867665470604011
856.0,1.3963819316757862
857.0,1.4060906695398643
858.0,1.4360926697398844
859.0,1.4568186147570668
860.0,1.4779832284188803
861.0,1.521705603908437
862.0,1.521705603908437
863.0,1.5445634931456365
864.0,1.5561914001223807
865.0,1.59190906068058
866.0,1.6164498616441447
867.0,1.6292703744646575
868.0,1.6422573874516706
870.0,1.6959607591723458
871.0,1.723934155103489
872.0,1.7382198693892033
873.0,1.8285050090357924
876.0,1.8605070571668731
877.0,1.8769004997898238
878.0,1.9105163189988632
879.0,1.9277576983092084
880.0,1.9637966593481702
881.0,2.0018953531072414
882.0,2.0215031962444963
883.0,2.1257604190225976
884.0,2.1939657279255806
885.0,2.2421654956375434
886.0,2.267806521278569
887.0,2.3211493377792802
888.0,2.3808641327881928
889.0,2.4121141327881928
890.0,2.444372197304322
891.0,2.5145692416392973
892.0,2.634697446767502
893.0,2.723630253091613
894.0,2.773630253091613
896.0,3.0031409170063013
898.0,3.069807583672968
899.0,3.1412361551015398
968.0,3.1412361551015398
1023.0,3.1412361551015398
1067.0,3.1412361551015398
1122.0,3.1412361551015398
1126.0,3.1412361551015398
1167.0,3.1412361551015398
1198.0,3.1412361551015398
1322.0,3.1412361551015398
1332.0,3.1412361551015398
1515.0,3.1412361551015398
1599.0,3.1412361551015398
1719.0,3.1412361551015398
1928.0,3.1412361551015398
